,2025-03-24,2025-03-25,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
06:30,,,-0.029999999999999995,-0.01,-0.01,-0.03133333333333333,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
07:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
07:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
08:00,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-1.3113333333333335,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
08:30,,,-0.029999999999999995,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.033,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
09:00,,,-0.03033333333333333,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
09:30,,,-1.1146666666666667,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
10:00,,,-2.594333333333333,-0.01,-0.01,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
10:30,,,-2.09,-0.01,-0.01,-0.030666666666666665,-0.030666666666666665,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
11:00,,,-0.8539999999999999,-0.01,-0.01,-0.03333333333333333,-0.03166666666666666,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,-0.04
11:30,,,-0.029999999999999995,-0.01,-0.01,-0.038000000000000006,-0.035,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
12:00,,,-0.029999999999999995,-0.01,-0.01,-0.03866666666666666,-0.039,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
12:30,,,-0.029999999999999995,-0.01,-0.01,-0.03933333333333333,-0.04,-0.029999999999999995,-0.03033333333333333,-0.029999999999999995,-0.04,-0.04,
13:00,,,-0.029999999999999995,-0.01,-0.01,-0.039,-0.04,-0.029999999999999995,-0.03033333333333333,-0.029999999999999995,-0.04,-0.04,
13:30,,,-0.029999999999999995,-0.01,-0.01,-0.04,-0.04,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
14:00,,,-0.029999999999999995,-0.01,-0.01,-0.04,-0.04,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
14:30,,,-0.03033333333333333,-0.01,-0.01,-0.04,-0.04,-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
15:00,,,-0.03133333333333333,-0.01,-0.01,-0.035333333333333335,-0.04,-0.03133333333333333,-0.03033333333333333,-0.029999999999999995,-0.04,-0.04,
15:30,,,-0.03033333333333333,-0.01,-0.01,-0.033666666666666664,-0.04,-0.03166666666666666,-0.030666666666666665,-0.029999999999999995,-0.04,-0.04,
16:00,,,-0.029999999999999995,-0.01,-0.01,-0.034666666666666665,-0.04033333333333333,-0.03166666666666666,-0.029999999999999995,-0.029999999999999995,-0.04,-0.04,
