,2025-03-24,2025-03-25,2025-03-26,2025-03-31,2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-14,2025-04-15,2025-04-16,2025-04-17,2025-04-18,2025-04-19,2025-04-20,2025-04-21,2025-04-22,2025-04-23,2025-04-24,2025-04-28,2025-04-29,2025-04-30,2025-05-05,2025-05-12,2025-05-19,2025-05-26,2025-06-02,2025-06-09,2025-06-16,2025-06-23,2025-06-30,2025-07-07,2025-07-14,2025-07-21,2025-07-28,2025-07-30,2025-07-31,2025-08-04,2025-08-11,2025-08-18,2025-08-25,2025-08-26,2025-09-08,2025-09-15,2025-09-22,2025-09-29,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
08:00,1.3433333333333333,1.6656666666666666,1.6096666666666666,2.7696666666666667,1.0423333333333333,0.004666666666666667,0.621,2.2963333333333336,2.4040000000000004,2.1390000000000002,2.122333333333333,0.0,1.3243333333333331,1.6400000000000001,2.54,1.856,2.4243333333333337,1.1906666666666665,2.145,2.6393333333333335,0.0,1.9986666666666666,1.058,2.2876666666666665,2.533666666666667,,2.852333333333333,,2.556896551724138,,,,,,,,,,,,,,,,,,,,,,0.5456666666666667,0.39333333333333337,1.667,1.06,0.721,1.7653333333333334
08:30,3.258666666666667,2.775,2.501,3.7439999999999998,1.238,0.005333333333333333,0.007,3.0709999999999997,3.566666666666667,2.9866666666666664,2.9069999999999996,0.0033333333333333335,0.37133333333333335,2.9266666666666667,3.6206666666666667,2.6733333333333333,3.4396666666666667,1.3503333333333332,3.8896666666666664,3.7560000000000002,0.008666666666666666,2.488,1.4196666666666666,2.223,3.2093333333333334,,3.884,,3.656206896551724,,,,,,,,,,,,,,,,,,,,,,1.0986666666666667,1.041,1.0253333333333334,2.8689999999999998,1.338,2.176
09:00,4.233666666666667,3.7760000000000002,1.4296666666666666,2.3209999999999997,0.7316666666666667,0.005666666666666667,0.004666666666666667,5.093666666666667,4.699666666666667,3.5403333333333333,4.755,0.0023333333333333335,2.931,1.5859999999999999,4.59,2.972666666666667,4.501666666666667,1.6436666666666668,4.853666666666667,4.821333333333333,0.17866666666666667,3.521666666666667,2.1426666666666665,1.3589999999999998,4.777333333333333,,4.999666666666667,,3.1482758620689655,,,,,,,,,,,,,,,,,,,,,,1.627,1.6789999999999998,1.878,2.3926666666666665,3.072,2.404333333333333
09:30,3.96,4.646333333333333,4.850666666666667,2.005666666666667,0.5113333333333333,0.04766666666666666,0.44,5.655666666666666,5.679666666666667,4.306666666666667,5.186000000000001,0.0,2.444666666666667,2.204,5.452333333333333,2.3033333333333332,5.320333333333334,2.0336666666666665,5.812,5.768,1.275,3.8626666666666667,3.0536666666666665,1.4816666666666667,5.798333333333333,,5.907,,4.786896551724138,,,,,,,,,,,,,,,,,,,,,,2.8546666666666667,1.9323333333333332,2.255333333333333,2.4026666666666667,3.0256666666666665,3.4650000000000003
10:00,4.330666666666667,5.387666666666666,6.331333333333333,3.2896666666666667,0.0,0.9633333333333333,0.7106666666666667,6.882333333333333,6.519333333333334,5.024,6.729333333333333,0.004,1.3446666666666667,0.9760000000000001,6.185333333333333,3.2333333333333334,5.930666666666666,2.1719999999999997,5.752666666666667,6.579,1.0326666666666666,3.997333333333333,3.7213333333333334,4.690333333333333,4.641,,6.410666666666667,,6.049,,,,,,,,,,,,,,,,,,,,,,5.428333333333333,1.93,3.0243333333333333,0.9886666666666667,5.059,4.613333333333333
10:30,2.720666666666667,6.020666666666667,7.320333333333334,4.7540000000000004,0.006333333333333333,0.6423333333333333,0.7773333333333333,4.549,7.158333333333333,4.912333333333334,6.109230769230769,0.0016666666666666668,2.5406666666666666,4.131333333333333,6.685333333333333,3.18,6.430000000000001,2.3673333333333333,7.350666666666667,7.318333333333333,0.6046666666666667,4.2780000000000005,3.5813333333333333,4.976333333333333,3.518333333333333,,7.035666666666667,,6.628666666666667,,,,,,,,,,,,,,,,,,,,,,4.5473333333333334,1.489,1.6326666666666667,0.5016666666666667,6.235666666666666,4.268666666666666
11:00,3.962,5.765,4.406666666666666,7.347333333333334,0.9283333333333333,0.656,0.9603333333333333,7.02,7.64,5.268,,0.782,3.3613333333333335,6.682333333333333,7.328666666666667,2.786,6.7780000000000005,2.487,7.802666666666667,7.882666666666666,0.6676666666666667,5.28,3.751333333333333,3.5403333333333333,5.201666666666667,,7.560333333333333,,6.6129999999999995,,,,,,,,,,,,,,,,,,,,,,5.201333333333333,3.4763333333333333,3.9376666666666664,0.854,6.848,4.575555555555556
11:30,5.706,3.9919999999999995,,8.082333333333333,0.9226666666666666,0.795,1.0076666666666667,6.8229999999999995,7.925666666666667,5.598,,1.25,5.681,6.6433333333333335,7.215999999999999,4.877,6.632000000000001,2.8833333333333333,8.272666666666668,8.165666666666667,1.0386666666666666,5.415333333333334,4.487666666666667,6.123666666666667,8.073,,8.139000000000001,,6.748,,,,,,,,,,,,,,,,,,,,,,6.450333333333333,3.856333333333333,4.2909999999999995,1.4363333333333335,7.232666666666666,
12:00,3.845,5.922666666666667,,8.898,1.089,0.7206666666666667,1.2483333333333335,4.985666666666666,8.083,4.899,,1.8213333333333332,4.770666666666667,7.2156666666666665,7.551666666666667,3.5206666666666666,6.875666666666667,2.780666666666667,8.388,8.193,2.3786666666666667,1.8913333333333333,4.296666666666667,7.968333333333334,7.253157894736842,8.425454545454546,7.883,,8.085909090909091,9.1275,,,,,,,,,,,,,,,,,,,,,6.559333333333333,4.898666666666667,5.5183333333333335,0.5756666666666667,7.253333333333333,
12:30,5.7459999999999996,7.397666666666667,,5.6946666666666665,1.2773333333333334,0.7343333333333334,1.0316666666666667,8.681000000000001,8.253333333333334,7.434666666666667,,1.1896666666666667,5.214666666666667,6.3373333333333335,3.2903333333333333,3.570333333333333,7.475333333333333,2.617,7.588,8.591666666666667,2.7656666666666667,2.2569999999999997,4.233333333333333,7.214666666666667,,8.829,8.346666666666668,,,8.905333333333335,,,,,,,,,,,,,,,,,,,,7.36,6.8580000000000005,5.4383333333333335,3.716666666666667,1.559,7.222666666666667,
