,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29,2025-07-30,2025-07-31,2025-08-01,2025-08-02,2025-08-03,2025-08-04,2025-08-05,2025-08-06,2025-08-07,2025-08-08,2025-08-09,2025-08-10,2025-08-11,2025-08-12,2025-08-13,2025-08-14,2025-08-15,2025-08-16,2025-08-17,2025-08-18,2025-08-19,2025-08-20,2025-08-21,2025-08-22,2025-08-23,2025-08-24,2025-08-25,2025-08-26,2025-08-27,2025-08-28,2025-08-29,2025-08-30,2025-08-31,2025-09-01,2025-09-02,2025-09-03,2025-09-04,2025-09-05,2025-09-06,2025-09-07,2025-09-08,2025-09-09,2025-09-10,2025-09-11,2025-09-12,2025-09-13,2025-09-14,2025-09-15,2025-09-16,2025-09-17,2025-09-18,2025-09-19,2025-09-20,2025-09-21,2025-09-22,2025-09-23,2025-09-24,2025-09-25,2025-09-26,2025-09-27,2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-06,2025-10-07,2025-10-08,2025-10-09
11:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013333333333333333,-0.0003333333333333333,0.0,0.0,0.0
11:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,
12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,
12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666668,0.0,0.0,0.0,0.0,
13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,-0.0026666666666666666,0.0,0.0,0.0,0.0,
14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023333333333333335,0.0,0.0,0.0,0.0,
14:30,0.0,1.8633333333333333,1.8270000000000002,1.8539999999999999,1.8543333333333332,1.849,1.853,1.8496666666666668,1.8476666666666666,1.8453333333333333,1.8523333333333334,1.8486666666666667,1.8476666666666666,1.8473333333333335,1.825,1.8123333333333334,1.8353333333333335,1.8453333333333333,1.84,1.845,1.847,1.8443333333333334,1.8483333333333334,1.845,1.8533333333333333,1.8493333333333333,1.8516666666666666,1.7873333333333332,1.8596666666666666,1.8436666666666668,1.8573333333333333,1.855,1.8506666666666665,1.8539999999999999,1.8566666666666667,1.8546666666666667,1.853,1.8526666666666667,1.8423333333333332,1.855,1.8603333333333332,1.858,1.8516666666666666,1.8486666666666667,1.8443333333333334,1.7779999999999998,1.7113333333333332,1.8466666666666667,1.849,1.8426666666666667,1.8433333333333333,1.8423333333333332,1.8303333333333331,1.8453333333333333,1.8483333333333334,1.8516666666666666,1.8443333333333334,1.8303333333333331,1.838,1.841,1.8403333333333334,1.8453333333333333,1.8416666666666666,1.845,1.8466666666666667,1.8443333333333334,1.8423333333333332,1.8436666666666668,0.0,0.0,0.0,0.0,-0.0006666666666666666,0.0,0.0,0.0,0.0,
15:00,0.0,1.9929999999999999,1.99,1.9846666666666666,1.9943333333333333,1.9833333333333334,1.988,1.982,1.9823333333333333,1.9836666666666667,1.982,1.9813333333333332,1.9789999999999999,1.9816666666666665,1.796,1.9656666666666667,1.9303333333333332,1.9773333333333334,1.93,1.9763333333333333,1.9773333333333334,1.9676666666666667,1.9813333333333332,1.9796666666666667,1.9886666666666666,1.9869999999999999,1.9793333333333334,1.9876666666666667,1.9913333333333334,1.9913333333333334,1.988,1.9929999999999999,1.9833333333333334,1.9893333333333334,1.9923333333333333,1.9903333333333333,1.9849999999999999,1.9813333333333332,1.9773333333333334,1.9906666666666666,1.9913333333333334,1.9866666666666668,1.9789999999999999,1.981,1.977,1.9853333333333334,1.982,1.9306666666666668,1.9813333333333332,1.9786666666666666,1.9729999999999999,1.9733333333333334,1.9796666666666667,1.9776666666666667,1.9846666666666666,1.9843333333333333,1.9786666666666666,1.978,1.9726666666666666,1.9756666666666665,1.9713333333333334,1.9736666666666667,1.9746666666666668,1.9736666666666667,1.9776666666666667,1.9776666666666667,1.9726666666666666,1.9743333333333333,0.0,0.0,0.0,0.0,-0.0006666666666666666,0.0,0.0,0.0,0.0,
15:30,0.0,0.132,0.13266666666666665,0.06699999999999999,0.132,0.13399999999999998,0.13266666666666665,0.132,0.132,0.132,0.13266666666666665,-0.2625,0.13,0.132,0.13166666666666668,0.13333333333333333,0.13133333333333333,0.13266666666666665,0.12533333333333332,0.132,0.13266666666666665,0.132,0.132,0.13266666666666665,0.13133333333333333,0.13266666666666665,0.13066666666666665,0.13266666666666665,0.132,0.13399999999999998,0.132,0.13266666666666665,0.13133333333333333,0.13266666666666665,0.13266666666666665,0.13266666666666665,0.132,0.13266666666666665,0.132,0.132,0.13399999999999998,0.13266666666666665,0.132,0.13133333333333333,0.13133333333333333,0.13333333333333333,0.132,0.132,0.132,0.13133333333333333,0.13133333333333333,0.13133333333333333,0.13266666666666665,0.132,0.132,0.13333333333333333,0.13133333333333333,0.13133333333333333,0.13133333333333333,0.132,0.13266666666666665,0.13133333333333333,0.13,0.13133333333333333,0.13133333333333333,0.132,0.132,0.13066666666666665,0.0,0.0,0.0,0.0,-0.0016666666666666668,0.0,0.0,0.0,0.0,
16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9380000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0,0.0,0.0,0.0,
16:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6366666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003333333333333333,0.0,0.0,-0.0003333333333333333,0.0,0.0,0.0,
